,h3_id,avg_centrality,lat,lng
0,882a100021fffff,3.3865341725487537e-06,40.857656179014,-73.81192709882109
1,882a100023fffff,3.3865341725487537e-06,40.84977742626076,-73.80950292368898
2,882a100025fffff,3.3865341725487537e-06,40.86002747391818,-73.82273555119615
3,882a100027fffff,1.163785156121913e-05,40.85214867781109,-73.82030941693367
4,882a10002dfffff,0.0,40.86553566907749,-73.81435209323601
5,882a100035fffff,3.3865341725487537e-06,40.84189941105498,-73.80707956743318
6,882a100101fffff,0.00012489860555423858,40.875015508443674,-73.8576008691374
7,882a100103fffff,0.0001642469073686146,40.86713584855748,-73.85516803406857
8,882a100105fffff,0.00011313980634399983,40.87738317005965,-73.8684160308666
9,882a100107fffff,0.00017017334217057489,40.86950346884012,-73.8659812350277
10,882a100109fffff,0.00011498089833463151,40.88052728166654,-73.84921859017174
11,882a10010bfffff,0.00010640705388190886,40.87264692716565,-73.84678689393489
12,882a10010dfffff,0.00011815241446447875,40.882895904501346,-73.8600345265709
13,882a100111fffff,5.507149618692378e-05,40.856888427592885,-73.84192596614102
14,882a100113fffff,5.966750684966853e-05,40.84901028299649,-73.83949673376893
15,882a100115fffff,0.00015715131195946478,40.85925692508074,-73.85273602095643
16,882a100117fffff,0.000141428117586917,40.85137873825122,-73.85030482939324
17,882a100119fffff,3.262898797995387e-05,40.86239785072476,-73.83354519157834
18,882a10011bfffff,2.615156944357093e-05,40.85451901171241,-73.83111709794215
19,882a10011dfffff,8.0336116204351e-05,40.864767309061804,-73.84435601939387
20,882a100121fffff,0.00014128029268255972,40.874235950280365,-73.88761119349822
21,882a100123fffff,0.00017700016502634778,40.866356903473715,-73.88517329935628
22,882a100125fffff,9.423613675649225e-05,40.87660081069531,-73.89842794985789
23,882a100127fffff,0.0001016273819743566,40.86872172367687,-73.89598809488999
24,882a100129fffff,0.00012055792881720187,40.879749911641944,-73.879232378547
25,882a10012bfffff,0.0001676200029134945,40.87187016953822,-73.87679562169613
26,882a10012dfffff,7.010932054836051e-05,40.882115732819045,-73.89004991160257
27,882a100131fffff,0.00021259908972111623,40.85611289344292,-73.87192457746747
28,882a100133fffff,0.0001723100839699211,40.848235359927294,-73.8694902892732
29,882a100135fffff,0.00023892536132438208,40.85847859263735,-73.88273622876811
30,882a100137fffff,0.0001824428092322297,40.850601018009236,-73.88029998132522
31,882a100139fffff,0.00018214715942351512,40.86162450380445,-73.86354726181402
32,882a10013bfffff,0.0001854261845747131,40.85374627519049,-73.86111411081755
33,882a10013dfffff,0.00022411599363331575,40.863991163392534,-73.87435968813907
34,882a100141fffff,4.82446733311509e-05,40.89392057299802,-73.84326577639457
35,882a100143fffff,5.802799427406952e-05,40.88603878797191,-73.84083439783454
36,882a100145fffff,4.329925834901621e-05,40.89629019890718,-73.85408444936499
37,882a100147fffff,8.302384173811985e-05,40.88840837232645,-73.85165110851239
38,882a100149fffff,7.767526792591982e-06,40.899432505978886,-73.83487852992124
39,882a10014bfffff,1.271294177472667e-05,40.891550026822884,-73.83244829182978
40,882a10014dfffff,2.308756233507444e-05,40.901803093932344,-73.84569797720526
41,882a100151fffff,1.4728735925053312e-05,40.875787277150664,-73.82759027998175
42,882a100153fffff,1.4728735925053312e-05,40.86790700711055,-73.82516250540982
43,882a100155fffff,3.4940431938995084e-05,40.878157739092316,-73.83840384111704
44,882a100157fffff,2.9242453807405112e-05,40.870277426597305,-73.83597410583417
45,882a100159fffff,4.945414982134688e-06,40.881296860185216,-73.81920454154128
