,hex8,avg_centrality,lat,lng,walk,transit,bike
71,882a10018dfffff,0.015593358192196647,40.82774860002101,-73.84301617992412,74,78.0,70
72,882a10019dfffff,0.0,40.809630621406846,-73.82736287087899,9,37.0,28
73,882a1001a1fffff,0.004244451158560919,40.81909808633296,-73.87056321484758,72,60.0,55
74,882a1001a3fffff,0.00044015862035908676,40.81122419630958,-73.86813107701411,42,57.0,51
75,882a1001a5fffff,0.007465405993808294,40.82146266052414,-73.88136625944885,70,92.0,83
76,882a1001a7fffff,0.0036236891486742103,40.81358872870989,-73.8789321654609,57,66.0,59
77,882a1001a9fffff,0.01749647010959049,40.82460718035992,-73.8621923554774,82,81.0,69
78,882a1001abfffff,0.0013497490466989172,40.816732594954956,-73.85976135311674,78,64.0,65
79,882a1001adfffff,0.006268230856152152,40.82697271375174,-73.8729961737882,94,88.0,56
80,882a1001b9fffff,0.0,40.80649238166287,-73.84653244858214,35,48.0,53
81,882a1001bdfffff,0.0009289426977687629,40.8088587471704,-73.85733117119682,51,58.0,58
82,882a1001c1fffff,0.01100610763704595,40.83876354521809,-73.82626337090076,84,78.0,55
83,882a1001c3fffff,0.009866993370649736,40.83088691821057,-73.82383773668212,91,62.0,50
84,882a1001c5fffff,0.010484434698360494,40.8411328755101,-73.83706832187046,92,87.0,89
85,882a1001c7fffff,0.015809230993668294,40.833256205370965,-73.8346407300387,69,79.0,69
86,882a1001c9fffff,0.0009405117310513063,40.84427061902667,-73.81788410221566,47,70.0,40
87,882a1001cbfffff,0.0024261848926879566,40.83639329780208,-73.81545960663557,59,55.0,46
88,882a1001cdfffff,0.026382405214900623,40.846640909797756,-73.82868982451858,92,90.0,62
89,882a1001d1fffff,0.0020156624562050526,40.820640868980156,-73.81061307126454,57,48.0,46
90,882a1001d3fffff,0.0010867421681316205,40.8127657618562,-73.80819103066189,47,48.0,39
91,882a1001d5fffff,0.00289616027899363,40.823011029012086,-73.82141292145643,86,54.0,47
92,882a1001d7fffff,0.00208235814219587,40.8151358778594,-73.81898892481757,61,48.0,47
93,882a1001dbfffff,0.0007300420168067228,40.81826979309186,-73.7998144078633,12,44.0,30
94,882a1001ddfffff,0.003303171484110886,40.82851671437431,-73.8130359297872,63,51.0,47
95,882a1001e1fffff,0.008408113352365713,40.83799202817855,-73.8562502738453,97,89.0,55
96,882a1001e3fffff,0.0033843881065070943,40.830116010255466,-73.85381958705473,93,88.0,58
97,882a1001e5fffff,0.019170075776033864,40.840358563083285,-73.86705682314846,91,100.0,66
98,882a1001e7fffff,0.013705905366480982,40.8324825031484,-73.86462417868563,96,96.0,50
99,882a1001e9fffff,0.019449191638475888,40.84350128830653,-73.84787445897155,94,85.0,69
100,882a1001ebfffff,0.0021243782667889808,40.83562457548406,-73.84544490928415,91,90.0,67
101,882a1001edfffff,0.03155977750152733,40.845868783236014,-73.85868178163048,94,87.0,65
102,882a100321fffff,0.0,40.91282807966403,-73.82891928745804,87,58.0,36
103,882a100323fffff,0.0,40.90494417073179,-73.82648936879633,81,55.0,44
104,882a100325fffff,0.0,40.915199671739046,-73.83974147247956,89,57.0,43
105,882a100327fffff,0.0007767526792591983,40.90731572103045,-73.83730959000172,88,59.0,52
106,882a100331fffff,0.0,40.89468856941527,-73.8132432036015,63,,46
107,882a100333fffff,0.0,40.886806175164125,-73.81081689021755,20,44.0,31
108,882a100335fffff,0.0,40.89706099768235,-73.8240602718616,83,44.0,52
109,882a100337fffff,0.00037457382550970937,40.889178560754104,-73.82163199624584,58,66.0,47
110,882a10033dfffff,0.0,40.90257170001307,-73.8156703376344,55,,40
111,882a100425fffff,0.004641055770756771,40.73317771039712,-73.71340141418112,83,59.0,53
112,882a100427fffff,0.006021376384305387,40.72530959310415,-73.71100036016365,80,,51
113,882a10042dfffff,0.0001001657447437279,40.73866948026719,-73.70502855194269,84,59.0,59
114,882a100465fffff,2.7241648093170495e-05,40.75203122786996,-73.69905337471215,79,,52
115,882a100501fffff,0.0011839189038772592,40.74817237818486,-73.74813458612918,51,61.0,65
116,882a100503fffff,0.04374511074861766,40.74030337345596,-73.74572687473018,60,69.0,61
117,882a100505fffff,0.024554144766020785,40.75054582660599,-73.75891406388425,87,62.0,50
118,882a100507fffff,0.02338629791414316,40.742676774273086,-73.75650440274649,76,61.0,66
119,882a100509fffff,0.0015109045429233926,40.753667716917796,-73.73976286875838,60,47.0,52
120,882a100511fffff,0.0005773227481279092,40.730060847115276,-73.73254558264262,78,71.0,61
121,882a100513fffff,0.007304126782716955,40.722193373678714,-73.73014144225816,73,,61
122,882a100515fffff,0.01835619055915317,40.73243511000893,-73.74331997495587,76,72.0,45
123,882a100517fffff,0.04615031800916474,40.72456758807787,-73.74091388640441,80,76.0,55
124,882a100519fffff,0.0003354859699267816,40.73555384114654,-73.72417537988147,74,64.0,62
125,882a10051bfffff,0.005965048121069236,40.72768567468988,-73.7217723775234,80,62.0,54
126,882a10051dfffff,0.00016184415899479188,40.73792906229,-73.73495053358641,44,68.0,64
127,882a100521fffff,0.014747763906844916,40.747420843376034,-73.77806301712947,70,70.0,59
128,882a100523fffff,0.029123762844926696,40.73955243778737,-73.77565026939871,66,66.0,68
129,882a100525fffff,0.018094583611762007,40.749791510919835,-73.78884410236131,73,71.0,61
130,882a100527fffff,0.03215313651401701,40.74192305884269,-73.78642940482467,82,66.0,54
131,882a100529fffff,0.014136717635868302,40.75291836386096,-73.76969472818924,86,68.0,50
132,882a10052bfffff,0.03720569067881347,40.74504926437014,-73.76728311706864,62,60.0,56
133,882a10052dfffff,0.01905425647614749,40.7552899895786,-73.78047657847658,87,69.0,51
134,882a100531fffff,6.01033496611498e-06,40.729313288133035,-73.76246233328233,36,71.0,43
135,882a100533fffff,0.013839702579831777,40.72144641185534,-73.76005315981193,78,73.0,39
136,882a100535fffff,0.00901005270034841,40.73168477304711,-73.77323833488155,67,66.0,61
137,882a100537fffff,0.00867031147949521,40.7238178493896,-73.77082721317547,42,73.0,37
138,882a100539fffff,5.322324451440965e-05,40.73480846299957,-73.75409555389729,79,70.0,69
139,882a10053bfffff,0.005712729717734376,40.72694089301965,-73.75168751693447,74,76.0,32
140,882a10053dfffff,0.020842748874311087,40.73718090571603,-73.76487231890052,41,65.0,62
141,882a100541fffff,0.009021975546478277,40.7670339218952,-73.73379549630022,87,60.0,32
142,882a100543fffff,0.0007093756385980901,40.75916278993818,-73.73138925034414,84,57.0,38
143,882a100545fffff,0.0007213572803811895,40.769409335688024,-73.74457845098927,46,57.0,23
144,882a100547fffff,0.009641045623437995,40.76153815590234,-73.74217025379033,71,58.0,47
145,882a10054bfffff,0.005315985164932178,40.76465759671215,-73.72301373059666,79,56.0,47
146,882a10054dfffff,4.593613152673592e-05,40.77490579464127,-73.73620255416074,85,,43
147,882a100551fffff,0.003642854574041974,40.748916170594065,-73.71820595151712,75,60.0,58
148,882a100553fffff,0.00619951504899175,40.74104656963837,-73.7158032778319,83,64.0,63
149,882a100557fffff,0.00014924364227547846,40.743422749329525,-73.7265791925366,67,60.0,57
150,882a100559fffff,3.7467023165392085e-06,40.754409325549986,-73.70983081023883,55,55.0,50
151,882a10055bfffff,6.922032529806186e-05,40.74653903205737,-73.70742927620503,78,62.0,66
152,882a10055dfffff,0.009915279701029211,40.75678651303008,-73.72060943563815,49,59.0,41
153,882a100563fffff,0.00865736454149028,40.75841561976382,-73.76132453771298,83,68.0,41
154,882a100565fffff,0.0138529098139091,40.768658784414235,-73.77452039089894,86,66.0,51
155,882a100567fffff,0.01800772116372831,40.76078820395392,-73.77210715266501,97,68.0,49
156,882a10056bfffff,0.010105265943272117,40.76391261055082,-73.75295244540986,50,59.0,68
157,882a100581fffff,0.0005083572536859354,40.69310492018892,-73.73129763639972,80,58.0,53
158,882a100583fffff,0.0009005071289313923,40.68524110934271,-73.72889559794419,46,56.0,45
159,882a100585fffff,0.008778534171692038,40.69547803071459,-73.74206347991341,85,65.0,53
160,882a100587fffff,0.009639141049760422,40.687614170709836,-73.73965949635947,62,63.0,56
161,882a10058dfffff,0.000627891959240477,40.7009694737188,-73.73370048407284,62,63.0,52
162,882a100593fffff,0.0009146637030251342,40.6671418479047,-73.71333512155611,73,,50
163,882a100595fffff,0.002356324503760987,40.67737804141311,-73.72649436830598,59,55.0,47
164,882a100597fffff,0.004617810605134574,40.66951571663289,-73.72409394708505,65,,48
165,882a1005a1fffff,0.010664396559452562,40.692357570267035,-73.76119084642028,87,71.0,53
166,882a1005a3fffff,0.034227796066368464,40.68449435553155,-73.75878378274068,75,72.0,50
167,882a1005a5fffff,0.0010189769391553197,40.694727907716356,-73.7719582969361,65,72.0,56
168,882a1005a7fffff,0.042883935123976036,40.686864644935284,-73.76954928808944,69,74.0,53
169,882a1005a9fffff,0.002601415704851384,40.69785023319313,-73.75283050826921,83,66.0,51
170,882a1005abfffff,0.03095988861842792,40.689986324474766,-73.75042457937303,71,65.0,51
171,882a1005adfffff,0.016813904262076834,40.700221527254044,-73.76359872090217,79,61.0,52
172,882a1005b1fffff,0.00531503547997,40.67426073469126,-73.74561515160187,83,64.0,51
173,882a1005b3fffff,0.005585903844319523,40.66639905409203,-73.74321165192586,66,64.0,66
174,882a1005b5fffff,0.006006463373721222,40.67663188328081,-73.75637752946245,76,70.0,49
175,882a1005b7fffff,0.04528719984710048,40.66877015374777,-73.75397208618487,63,68.0,54
176,882a1005b9fffff,1.826517379312864e-05,40.6797510534002,-73.73725632228448,70,58.0,51
177,882a1005bbfffff,0.004418319994860207,40.671888679018544,-73.7348539572881,83,65.0,61
178,882a1005bdfffff,0.004783386026738557,40.68212315822979,-73.74801946061747,79,64.0,51
179,882a1005c5fffff,0.0001220800504805692,40.714326642214104,-73.7277381120318,65,75.0,56
180,882a1005e1fffff,0.005527407744799844,40.711207977876754,-73.74687387706078,73,76.0,55
181,882a1005e3fffff,0.011656622144643764,40.703342633181315,-73.7444682733469,64,68.0,51
182,882a1005e5fffff,0.0034481035229907355,40.71358027711693,-73.75764479808736,71,77.0,50
183,882a1005e7fffff,0.007686185323595837,40.70571488415166,-73.75523724770694,81,70.0,51
184,882a1005e9fffff,0.02147238844310937,40.71670080789671,-73.73850860867427,89,79.0,55
185,882a1005ebfffff,0.028993626911397095,40.70883476969916,-73.7361041413641,75,68.0,56
186,882a1005edfffff,0.007131592402556256,40.71907406456743,-73.74928029145617,76,76.0,53
187,882a100813fffff,0.007071405879345849,40.826954653614976,-73.97374420222577,66,,49
188,882a100819fffff,0.003010252597821115,40.840346190903546,-73.96783313062552,35,,50
189,882a10081bfffff,0.015835182936454823,40.83247194089916,-73.96538337877391,24,,57
190,882a100851fffff,0.0031029791287361403,40.853739597661814,-73.96191871105485,72,,57
191,882a100853fffff,0.009689250549236713,40.845863914920976,-73.95946926398362,17,,54
192,882a100859fffff,0.007113065625119269,40.859257757397295,-73.95355179929454,10,,40
193,882a10085bfffff,0.016193546340957335,40.85138137751687,-73.9511034847957,25,74.0,63
194,882a100881fffff,0.021565180585825867,40.79782295730974,-73.97475203687154,73,100.0,66
195,882a100883fffff,0.029132272229825805,40.789953046698194,-73.97230333019724,99,100.0,87
196,882a100885fffff,0.011881090722025209,40.800177193481545,-73.98555631237718,30,,38
197,882a100887fffff,0.02762049495801533,40.792307244653166,-73.98310565091663,49,99.0,66
198,882a100889fffff,0.029413778920687805,40.803338411084496,-73.96639651391816,97,100.0,83
199,882a10088bfffff,0.029360362773970156,40.79546780257506,-73.96394893647735,97,100.0,74
200,882a10088dfffff,0.022253695488222654,40.80569360425788,-73.97720156952671,16,82.0,43
201,882a100891fffff,0.04078549203818294,40.779728795481134,-73.95905625713573,99,100.0,80
202,882a100893fffff,0.04191484362738936,40.77186039737063,-73.95661115441823,99,100.0,85
203,882a100895fffff,0.04316912348325366,40.782083872660436,-73.96985544909508,87,100.0,72
204,882a100897fffff,0.048365975422703544,40.77421543543357,-73.96740839315652,90,100.0,76
205,882a100899fffff,0.01978080264325964,40.78524189681171,-73.95070221395892,100,100.0,79
206,882a10089bfffff,0.014252603758615654,40.77737280100291,-73.94825824039013,99,100.0,83
207,882a10089dfffff,0.030632245063914605,40.78759793062823,-73.9615021843527,70,100.0,79
208,882a1008a3fffff,0.0002526462001742721,40.78914359672264,-74.00226007049807,90,67.0,28
209,882a1008abfffff,0.005160433024836196,40.794660524124964,-73.99390914593447,37,,47
210,882a1008b1fffff,0.029111690257675127,40.77892275953247,-73.98900639326244,87,100.0,73
211,882a1008b3fffff,0.05195771635235192,40.771054982011556,-73.98655625625548,96,100.0,87
212,882a1008b5fffff,0.007993295737428567,40.78127504483244,-73.99980715347834,34,74.0,38
213,882a1008b7fffff,0.05025808532515032,40.77340722931203,-73.9973550632056,54,81.0,68
214,882a1008b9fffff,0.03862586676768473,40.78443803217257,-73.98065581569266,99,100.0,86
215,882a1008bbfffff,0.05446998443262413,40.77656955627686,-73.97820680629647,97,100.0,89
216,882a1008bdfffff,0.016786189821153367,40.78679127364929,-73.99145735635247,20,89.0,42
217,882a1008c1fffff,0.02628865524592159,40.816725647930994,-73.96048635474924,93,100.0,51
218,882a1008c3fffff,0.0437402256756012,40.80885360544284,-73.95803908175756,98,100.0,52
219,882a1008c5fffff,0.024563123653113538,40.81908183684203,-73.97129414638324,45,,46
220,882a1008c7fffff,0.0330259985583823,40.81120975591932,-73.96884491708379,19,90.0,54
221,882a1008c9fffff,0.03903084015287685,40.82224127975794,-73.9521258822242,98,100.0,83
222,882a1008cbfffff,0.04845858280141614,40.81436853984996,-73.94967974009114,96,100.0,49
223,882a1008cdfffff,0.029410884607521295,40.824598426495676,-73.9629344536183,39,83.0,47
224,882a1008d1fffff,0.037597854837333626,40.79862526917927,-73.94478993105159,98,100.0,80
225,882a1008d3fffff,0.02412604038460258,40.79075473889113,-73.94234626332812,98,100.0,87
226,882a1008d5fffff,0.041819510574894456,40.80098229926872,-73.95559263423436,97,100.0,83
227,882a1008d7fffff,0.048566112503085394,40.79311172964598,-73.95314701177094,92,100.0,67
228,882a1008d9fffff,0.04818787656042548,40.80413854869356,-73.9364309418966,98,100.0,82
229,882a1008dbfffff,0.01885927989155212,40.79626732118499,-73.93398840494555,93,100.0,86
230,882a1008ddfffff,0.05089278285302701,40.80649653624461,-73.9472344231698,99,100.0,81
231,882a1008e3fffff,0.004206290460348254,40.808047878420304,-73.98800780048343,65,,50
232,882a1008e9fffff,0.0037036857855334785,40.82143710621416,-73.98210311441619,67,,30
233,882a1008ebfffff,0.011823304623049183,40.81356498730522,-73.97965192857184,59,,53
234,882a100a03fffff,0.001588445790457392,40.883689866266785,-73.93088532051465,5,46.0,27
235,882a100a0bfffff,0.001037462056034777,40.889207670206844,-73.9225096172535,20,48.0,34
236,882a100a11fffff,0.015178313922348283,40.8734486029651,-73.91762123660165,82,98.0,50
237,882a100a13fffff,0.021418282399266582,40.86557017216257,-73.91517828481871,95,100.0,67
238,882a100a15fffff,0.007320468445475099,40.87581066130865,-73.92843958162587,19,52.0,36
239,882a100a17fffff,0.019195278154359653,40.867932191415754,-73.92599466896426,97,94.0,82
240,882a100a19fffff,0.006412644489897417,40.878964750411974,-73.90924589019862,95,91.0,67
241,882a100a1bfffff,0.01128735608946636,40.87108562363095,-73.90680407416399,90,100.0,54
242,882a100a1dfffff,0.0027614808002870764,40.881327769059396,-73.92006501394336,72,76.0,35
243,882a100a31fffff,0.0026904132593026215,40.87265346681609,-73.947630981986,4,,31
244,882a100a33fffff,0.009948616063245408,40.86477565494112,-73.94518297400244,2,,26
245,882a100a37fffff,0.001790025205490056,40.86713487237879,-73.95600094079471,41,,44
246,882a100a39fffff,0.0026904132593026215,40.87817179829095,-73.93925910865909,4,,27
247,882a100a3bfffff,0.007836511747958717,40.87029328975704,-73.93681223487924,33,72.0,51
248,882a100a4bfffff,0.000726419878296146,40.908124511442004,-73.90819562013436,43,67.0,15
249,882a100a51fffff,0.0013971398628156756,40.89236119101144,-73.90331013409622,68,84.0,41
250,882a100a53fffff,0.0032240674772619697,40.88448063321969,-73.9008686294569,96,93.0,75
251,882a100a55fffff,0.001037462056034777,40.894725209574204,-73.91413199857668,26,61.0,12
252,882a100a57fffff,0.0020259535232612395,40.88684461247263,-73.91168853153299,93,81.0,54
253,882a100a59fffff,0.0008097737170535512,40.89787750413886,-73.8949298213347,51,64.0,63
254,882a100a5bfffff,0.002092686093287048,40.88999625085142,-73.89248945407833,66,90.0,75
255,882a100a5dfffff,0.0010818818419126902,40.90024248383187,-73.90575246418544,70,67.0,41
256,882a100a81fffff,0.014075091669899434,40.836425667265026,-73.91622327239955,95,100.0,73
257,882a100a83fffff,0.01948113506580294,40.828550876272985,-73.91378248473355,93,100.0,79
258,882a100a85fffff,0.021679219509147474,40.83878660877818,-73.92703300051946,90,100.0,53
259,882a100a87fffff,0.02609637842321306,40.83091177801377,-73.92459025507257,91,100.0,77
260,882a100a89fffff,0.01064692717671561,40.84193929388881,-73.90785437873004,95,100.0,66
261,882a100a8bfffff,0.01022372345487696,40.83406380663563,-73.905414725091,92,96.0,76
262,882a100a8dfffff,0.018506086881095736,40.844301194513214,-73.91866488424684,93,100.0,51
263,882a100a91fffff,0.015619133605508758,40.81831504181259,-73.90053788794832,94,100.0,78
264,882a100a93fffff,0.013531168193654542,40.810441764717446,-73.8981007036288,65,89.0,71
265,882a100a95fffff,0.027251069083980603,40.820676821774676,-73.91134252084045,95,100.0,70
266,882a100a97fffff,0.025513472630843956,40.8128035040075,-73.90890338031213,92,100.0,74
267,882a100a99fffff,0.007494282515130183,40.82382631715807,-73.89217048634661,96,100.0,81
268,882a100a9bfffff,0.00674674472856591,40.81595234400097,-73.88973443596365,94,98.0,70
269,882a100a9dfffff,0.02723877865961081,40.82618905586441,-73.90297589496645,89,100.0,70
270,882a100aa1fffff,0.020529533390357957,40.835630824012625,-73.94620933516283,95,100.0,83
271,882a100aa3fffff,0.03232697529243498,40.827756650865005,-73.94376349920987,96,100.0,86
272,882a100aa5fffff,0.02186912675976589,40.83798896753131,-73.95702064376115,17,73.0,35
273,882a100aa7fffff,0.016579133568037575,40.83011475573099,-73.95457284997782,73,99.0,79
274,882a100aa9fffff,0.02992157259186848,40.84114663080508,-73.9378439088746,98,100.0,77
275,882a100aabfffff,0.0356274116067298,40.83327176071692,-73.93539920540775,62,100.0,76
276,882a100aadfffff,0.023215677252184094,40.843505732975906,-73.94865599688835,27,98.0,67
277,882a100ab1fffff,0.04203801035616657,40.81752422890385,-73.93051227338316,93,100.0,72
278,882a100ab3fffff,0.03962942793769903,40.80965156765417,-73.92807004400815,94,100.0,78
279,882a100ab5fffff,0.04264260566769719,40.81988321377091,-73.94131848862035,98,100.0,68
280,882a100ab7fffff,0.03999564513907238,40.81201051296795,-73.93887430298544,93,100.0,80
281,882a100ab9fffff,0.0280690592426427,40.82303768351727,-73.9221483340651,95,100.0,67
282,882a100abbfffff,0.038748395297780375,40.815164325526204,-73.91970723708859,98,100.0,77
283,882a100abdfffff,0.032241883741654126,40.82539762667059,-73.93295532704686,68,100.0,59
284,882a100ac1fffff,0.01289651363169278,40.85532957686146,-73.90192291635685,97,100.0,66
285,882a100ac3fffff,0.021772835759749525,40.84745265734938,-73.89948357376652,93,100.0,72
286,882a100ac5fffff,0.013956611156700268,40.85769247689023,-73.91273615818517,92,100.0,55
287,882a100ac7fffff,0.020431737060368806,40.84981551738629,-73.91029485629191,92,100.0,75
288,882a100ac9fffff,0.019910161243434393,40.86084337240267,-73.89354906414414,96,100.0,51
289,882a100acbfffff,0.02082600245690811,40.8529657571109,-73.8911108572116,92,96.0,60
290,882a100acdfffff,0.009377213400697228,40.86320723236801,-73.90436308301975,90,100.0,58
291,882a100ad1fffff,0.023491497786028024,40.83721273542623,-73.88623691315279,93,100.0,78
292,882a100ad3fffff,0.008034565037842402,40.82933732950865,-73.88380117521034,69,100.0,74
293,882a100ad5fffff,0.01232072980977485,40.839576474069695,-73.89704505484018,75,96.0,73
294,882a100ad7fffff,0.017078308137303988,40.83170102726008,-73.89460735916954,90,100.0,76
295,882a100ad9fffff,0.019394823564383178,40.842724179827236,-73.87786455661951,81,96.0,64
296,882a100adbfffff,0.017286554485184884,40.83484807832892,-73.87542995424305,90,100.0,77
297,882a100addfffff,0.025375761775640663,40.845088878039505,-73.88867347368388,98,97.0,74
298,882a100ae1fffff,0.025662580185744625,40.8545384781595,-73.93192096636656,97,100.0,61
299,882a100ae3fffff,0.02266401838673413,40.84666217557272,-73.92947657081447,36,100.0,36
300,882a100ae5fffff,0.01601884418126236,40.85689857815535,-73.94273579276252,3,90.0,54
301,882a100ae7fffff,0.021120999886385113,40.849022236697245,-73.9402894378564,96,100.0,71
302,882a100ae9fffff,0.018069668945612863,40.86005445682667,-73.92355058212016,89,100.0,66
303,882a100aebfffff,0.019417634793967763,40.85217745777977,-73.92110732068406,73,100.0,64
304,882a100aedfffff,0.021782203997346115,40.86241551630037,-73.934366187585,39,90.0,42
305,882a100c01fffff,0.010272486990064554,40.72624570052828,-73.88212706011622,78,81.0,61
306,882a100c03fffff,0.003830008885620614,40.718381241982044,-73.87969776822736,73,66.0,61
307,882a100c05fffff,0.005090692337784962,40.728606064727124,-73.8929094398404,94,65.0,68
308,882a100c07fffff,0.002650097376296088,40.720741563259324,-73.89047819947287,77,72.0,65
309,882a100c09fffff,0.005451776120343198,40.73174957844375,-73.87377401932848,87,100.0,62
